fecha,inac_novillo_pie,inac_novillo_4ta,inac_vaca_pie,inac_vaca_4ta,inac_vaquillona_pie,inac_vaquillona_4ta,pr_terneros_usd_kg,pr_terneras_usd_kg,pr_terneros_as_usd_kg,pr_novillos_1_2_usd_kg,pr_novillos_2_3_usd_kg,pr_novillos_3mas_usd_kg,pr_vaquillonas_1_2_usd_kg,pr_vaquillonas_2mas_usd_kg,pr_vacas_invernada_usd_kg,pr_piezas_cria_usd_cab,pr_vientres_entorados_usd_cab,pr_vientres_prenados_usd_cab,novillo_tipo_usd_cab,rhe_novillo,rhe_vaca,usd_uyu
1998-11,0.86,,0.742,,,,,,,,,,,,,,,,,,,
1998-12,0.805,,0.689,,,,,,,,,,,,,,,,,,,
1999-01,0.817,,0.691,,0.753,,,,,,,,,,,,,,,,,
1999-02,0.781,,0.625,,0.709,,,,,,,,,,,,,,,,,
1999-03,0.754,,0.603,,0.686,,,,,,,,,,,,,,,,,
1999-04,0.752,,0.604,,0.687,,,,,,,,,,,,,,,,,
1999-05,0.752,,0.6,,0.695,,,,,,,,,,,,,,,,,
1999-06,0.738,,0.588,,0.691,,,,,,,,,,,,,,,,,
1999-07,0.759,,0.584,,0.698,,,,,,,,,,,,,,,,,
1999-08,0.802,,0.625,,0.715,,,,,,,,,,,,,,,,,
1999-09,0.768,,0.622,,0.695,,,,,,,,,,,,,,,,,
1999-10,0.738,,0.617,,0.673,,,,,,,,,,,,,,,,,
1999-11,0.711,,0.596,,0.65,,,,,,,,,,,,,,,,,
1999-12,0.685,,0.579,,0.646,,,,,,,,,,,,,,,,,
2000-01,0.698,,0.589,,0.654,,,,,,,,,,,,,,,,,
2000-02,0.726,,0.597,,0.659,,,,,,,,,,,,,,,,,
2000-03,0.769,,0.623,,0.678,,,,,,,,,,,,,,,,,
2000-04,0.804,,0.64,,0.708,,,,,,,,,,,,,,,,,
2000-05,0.859,,0.684,,0.754,,,,,,,,,,,,,,,,,
2000-06,0.817,,0.659,,0.726,,,,,,,,,,,,,,,,,
2000-07,0.803,,0.653,,0.728,,,,,,,,,,,,,,,,,
2000-08,0.84,,0.685,,0.737,,,,,,,,,,,,,,,,,
2000-09,0.876,,0.717,,0.765,,,,,,,,,,,,,,,,,
2000-10,0.874,,0.728,,0.762,,,,,,,,,,,,,,,,,
2000-11,0.759,,0.634,,0.688,,,,,,,,,,,,,,,,,
2000-12,0.705,,0.596,,0.642,,,,,,,,,,,,,,,,,
2001-01,0.761,,0.643,,0.687,,,,,,,,,,,,,,,,,
2001-02,0.768,,0.65,,0.695,,,,,,,,,,,,,,,,,
2001-03,0.773,,0.65,,0.692,,,,,,,,,,,,,,,,,
2001-04,0.754,,0.632,,0.675,,,,,,,,,,,,,,,,,
2001-05,0.685,,0.551,,0.622,,,,,,,,,,,,,,,,,
2001-06,0.66,,0.532,,0.597,,,,,,,,,,,,,,,,,
2001-07,0.652,,0.523,,0.604,,0.81,0.68,0.7,0.7,0.63,0.58,0.67,0.63,0.48,144.0,203.0,225.0,,,,
2001-08,0.627,,0.516,,0.58,,0.75,0.68,0.65,0.65,0.57,0.55,0.63,0.58,0.44,120.0,188.0,216.0,,,,
2001-09,0.602,,0.511,,0.558,,,,,,,,,,,,,,,,,
2001-10,0.607,,0.518,,0.56,,,,,,,,,,,,,,,,,13.95
2001-11,0.594,,0.511,,0.554,,0.81,0.69,0.74,0.68,0.6,0.57,0.65,0.6,0.47,134.0,195.0,223.0,,,,13.9905
